1,maxpop3connections,"",0
2,maxsmtpconnections,"",0
3,mirroremailaddress,"",0
4,relaymode,"",2
5,authallowplaintext,"",0
6,allowmailfromnull,"",1
7,logging,"",0
8,logdevice,"",0
9,smtpnoofretries,"",4
10,smtpminutesbetweenretries,"",60
11,protocolimap,"",1
12,protocolsmtp,"",1
13,protocolpop3,"",1
14,welcomeimap,"",0
15,welcomepop3,"",0
16,welcomesmtp,"",0
17,smtprelayer,"",0
18,maxdelivertythreads,"",10
19,logformat,"",0
20,avclamwinenable,"",0
21,avclamwinexec,"",0
22,avclamwindb,"",0
23,avnotifysender,"",0
24,avnotifyreceiver,"",0
25,avaction,"",0
26,sendstatistics,"",0
27,hostname,"",0
28,smtprelayerusername,"",0
29,smtprelayerpassword,"",0
30,usesmtprelayerauthentication,"",0
31,smtprelayerport,"",25
32,usecustomvirusscanner,"",0
33,customvirusscannerexecutable,"",0
34,customviursscannerreturnvalue,"",0
35,usespf,"",0
36,usemxchecks,"",0
37,usescriptserver,"",0
38,scriptlanguage,VBScript,0
39,maxmessagesize,"",20480
40,usecache,"",1
41,domaincachettl,"",60
42,accountcachettl,"",60
43,awstatsenabled,"",0
44,rulelooplimit,"",5
45,backupoptions,"",0
46,backupdestination,"",0
47,defaultdomain,"",0
48,avmaxmsgsize,"",0
49,smtpdeliverybindtoip,"",0
50,enableimapquota,"",1
51,enableimapidle,"",1
52,enableimapacl,"",1
53,maximapconnections,"",0
54,enableimapsort,"",1
55,workerthreadpriority,"",0
56,ascheckhostinhelo,"",0
57,tcpipthreads,"",15
58,smtpallowincorrectlineendings,"",1
59,usegreylisting,"",0
60,greylistinginitialdelay,"",30
61,greylistinginitialdelete,"",24
62,greylistingfinaldelete,"",864
63,antispamaddheaderspam,"",1
64,antispamaddheaderreason,"",1
65,antispamprependsubject,"",0
66,antispamprependsubjecttext,[SPAM],0
67,enableattachmentblocking,"",0
68,maxsmtprecipientsinbatch,"",100
69,disconnectinvalidclients,"",0
70,maximumincorrectcommands,"",100
71,aliascachettl,"",60
72,distributionlistcachettl,"",60
73,smtprelayerconnectionsecurity,"",0
74,adddeliveredtoheader,"",0
75,groupcachettl,"",60
76,imappublicfoldername,#Public,0
77,antispamenabled,"",0
78,usespfscore,"",3
79,ascheckhostinheloscore,"",2
80,usemxchecksscore,"",2
81,spammarkthreshold,"",5
82,spamdeletethreshold,"",20
83,spamassassinenabled,"",0
84,spamassassinscore,"",5
85,spamassassinmergescore,"",0
86,spamassassinhost,127.0.0.1,0
87,spamassassinport,"",783
88,antispammaxsize,"",1024
89,ASDKIMVerificationEnabled,"",0
90,ASDKIMVerificationFailureScore,"",5
91,AutoBanOnLogonFailureEnabled,"",1
92,MaxInvalidLogonAttempts,"",3
93,LogonAttemptsWithinMinutes,"",30
94,AutoBanMinutes,"",60
95,IMAPHierarchyDelimiter,.,0
96,MaxNumberOfAsynchronousTasks,"",15
97,MessageIndexing,"",0
98,BypassGreylistingOnSPFSuccess,"",1
99,BypassGreylistingOnMailFromMX,"",0
100,MaxNumberOfMXHosts,"",15
101,ClamAVEnabled,"",0
102,ClamAVHost,localhost,0
103,ClamAVPort,"",3310
104,SmtpDeliveryConnectionSecurity,"",2
105,VerifyRemoteSslCertificate,"",1
106,SslCipherList,ECDHE-RSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-AES256-GCM-SHA384:DHE-RSA-AES128-GCM-SHA256:DHE-DSS-AES128-GCM-SHA256:kEDH+AESGCM:ECDHE-RSA-AES128-SHA256:ECDHE-ECDSA-AES128-SHA256:ECDHE-RSA-AES128-SHA:ECDHE-ECDSA-AES128-SHA:ECDHE-RSA-AES256-SHA384:ECDHE-ECDSA-AES256-SHA384:ECDHE-RSA-AES256-SHA:ECDHE-ECDSA-AES256-SHA:DHE-RSA-AES128-SHA256:DHE-RSA-AES128-SHA:DHE-DSS-AES128-SHA256:DHE-RSA-AES256-SHA256:DHE-DSS-AES256-SHA:DHE-RSA-AES256-SHA:AES128-GCM-SHA256:AES256-GCM-SHA384:ECDHE-RSA-RC4-SHA:ECDHE-ECDSA-RC4-SHA:AES128:AES256:RC4-SHA:HIGH:!aNULL:!eNULL:!EXPORT:!DES:!3DES:!MD5:!PSK;,0
107,SslVersions,"",14
